#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
A,wlroots-git|libwlroots-dev, "is the wayland compositor library used by dwl."
,xorg-xwayland|xwayland, "is the compatibility layer for xorg so that x based programs work."
,polkit|policykit-1, "manages user policies."
,ttf-font-awesome|fonts-font-awesome, "provides extended glyph support."
,ttf-hack|fonts-hack, "is a great font."
,ttf-hack-nerd|fonts-hack-ttf, "provides hack the icons."
,noto-fonts|fonts-noto, "is an expansive font package needed for some icons."
,lf|lf, "is an extensive terminal file manager that everyone likes. Now with sixel support!"
,chafa|chafa, "is a program that allows displaying images inside terminals. Used for lf previews."
,poppler|poppler-utils, "is a program that allows generating thumbnails of pdfs. Used for lf previews."
,ffmpegthumbnailer|ffmpegthumbnailer, "is a program that allows generating thumbnails of videos. Used for lf previews."
,perl-image-exiftool|libimage-exiftool-perl, "is a program that allows reading exif metadata. Used for lf previews."
,kanshi|kanshi, "provides hotplug functionality for newly connected monitors using user defined profiles."
,swaybg|swaybg, "sets the wallpaper."
,swayidle|swayidle, "is an idle management daemon."
,swaylock|swaylock, "provides genuine screen locking"
,wl-clipboard|wl-clipboard, "provides clipbaord functionality."
,brightnessctl|brightnessctl, "enables changing screen brightness levels"
,foot|foot, "provides best terminal emulator experience."
,slurp|slurp, "is used for selecting parts of screen (used for recoring and screenshotting)"
,grim|grim, "captures images on wayland"
,wireplumber|wireplumber, "is an audio system and also provides capabilities needed for screen recording."
,pipewire-pulse|pipewire-pulse, "gives pipewire compatibility with PulseAudio programs."
,pipewire-alsa|pipewire-alsa, "gives stability as a few computers I ran MARBS on wanted it."
,wf-recorder|wf-recorder, "is a utility for screen recording on wlroots."
A,keyd-git|keyd, "is a keyboard remapping daemon."
,mpv|mpv, "is a video player."
,unzip|unzip, "unzips zips."
,man-db|man-db, "lets you read man pages of programs."
,neovim|neovim, "a tidier vim with greater customizability."
A,swayimg-git|swayimg, "is a minimalistic image viewer."
,zathura|zathura, "is a df viewer with vim-like bindings."
,fzf|fzf, "is a fuzzy finder tool used for easy selection and location of files."
,bat|bat, "can highlight code output and display files and is used to generate previews in the file browser."
A,htop-vim|htop, "is a graphical and colorful system monitor."
S,https://github.com/jakubgrad/dwl.git|dwl, "is the window manager."
S,https://github.com/jakubgrad/dwlb.git|dwlb, "is the statusbar for displaying tags and app titles."
S,https://github.com/jakubgrad/someblocks.git|someblocks, "is the statusbar for displaying user defined blocks."
S,https://github.com/jakubgrad/xdg-desktop-portal-wlr-plus-filechooser.git|xdg-desktop-portal-wlr, "provides the portals functionality used by browsers for webrtc and file picking."
,xdg-desktop-portal-gtk|xdg-desktop-portal-gtk, "provides the rest of the portals functionality eg. for screenshot permissions"
,bemenu-wayland|bemenu, "runs commands and provides a UI for selection."
A,tofi-git|tofi, "runs commands and provides a UI for selection but is much more customizable."
,pinentry-bemenu|pinentry-bemenu, "provides autorization dialog"
A,networkmanager-dmenu-git|network-manager, "provides networking related menu"
,pass|pass, "is a minimal password manager"
,newsboat|newsboat, "is a terminal RSS client."
,firefox|firefox, "is a regular firefox browser"
A,ungoogled-chromium-bin|chromium-browser, "is a browser that you do sometimes need."
A,zsh-git|zsh, "is the zoomer shell. (git version allows to apply patches)"
A,zsh-fast-syntax-highlighting-git|zsh-syntax-highlighting, "provides syntax highlighting in the shell."
A,zsh-defer-git|zsh-autosuggestions, "provides zsh lazy loading making the shell launch super fast"
,atuin|atuin, "provides decent shell history"
,mediainfo|mediainfo, "shows audio and video information and is used in the file browser."
,trash-cli|trash-cli, "handles your trash."
,npm|npm, "is trash that is needed for bash and lua language servers."
,ripgrep|ripgrep, "search files and directories quickly, used for live grepping in neovim via telescope."
,arc-gtk-theme|arc-theme, "provides beatiful light and dark theme"
,fnott|fnott, "provides wayland notification daemon"
,libnotify|libnotify-bin, "mainly provides notification dispatching"
S,https://github.com/jakubgrad/marbs-themetime|marbs-themetime, "provides automatic light/dark theme changes based on sunset/rise in one's timezone"
S,https://github.com/jakubgrad/marbs-cooltify|marbs-cooltify, "provides displaying arguent OSD notifications in style. Used for critical battery indicator."
